Close,Date
133.75,2010-10-11
130.899994,2010-10-12
133.350006,2010-10-13
132.899994,2010-10-14
130.0,2010-10-15
129.699997,2010-10-18
129.699997,2010-10-19
129.149994,2010-10-20
130.300003,2010-10-21
128.600006,2010-10-22
128.5,2010-10-25
127.400002,2010-10-26
126.900002,2010-10-27
128.850006,2010-10-28
124.449997,2010-10-29
124.800003,2010-11-01
125.349998,2010-11-02
124.699997,2010-11-03
124.25,2010-11-04
125.349998,2010-11-08
127.449997,2010-11-09
131.800003,2010-11-10
128.100006,2010-11-11
124.800003,2010-11-12
124.699997,2010-11-15
121.099998,2010-11-16
119.150002,2010-11-18
118.599998,2010-11-19
119.650002,2010-11-22
117.449997,2010-11-23
116.900002,2010-11-24
110.5,2010-11-25
112.650002,2010-11-26
113.050003,2010-11-29
113.0,2010-11-30
114.900002,2010-12-01
115.650002,2010-12-02
113.650002,2010-12-03
114.650002,2010-12-06
115.050003,2010-12-07
114.849998,2010-12-08
111.150002,2010-12-09
110.75,2010-12-10
112.699997,2010-12-13
114.199997,2010-12-14
114.699997,2010-12-15
114.75,2010-12-16
115.0,2010-12-20
115.699997,2010-12-21
113.900002,2010-12-22
112.699997,2010-12-23
112.449997,2010-12-24
109.949997,2010-12-27
109.599998,2010-12-28
109.75,2010-12-29
107.949997,2010-12-30
108.349998,2010-12-31
111.5,2011-01-03
113.0,2011-01-04
112.150002,2011-01-05
110.300003,2011-01-06
108.099998,2011-01-07
104.0,2011-01-10
104.0,2011-01-11
104.099998,2011-01-12
103.400002,2011-01-13
104.550003,2011-01-14
104.75,2011-01-17
104.800003,2011-01-18
105.099998,2011-01-19
106.75,2011-01-20
105.550003,2011-01-21
106.0,2011-01-24
106.150002,2011-01-25
105.599998,2011-01-27
100.0,2011-01-28
99.400002,2011-01-31
98.099998,2011-02-01
97.75,2011-02-02
96.050003,2011-02-03
95.099998,2011-02-04
95.699997,2011-02-07
92.699997,2011-02-08
88.050003,2011-02-09
88.150002,2011-02-10
91.449997,2011-02-11
94.400002,2011-02-14
95.5,2011-02-15
94.550003,2011-02-16
100.900002,2011-02-17
94.650002,2011-02-18
96.300003,2011-02-21
96.449997,2011-02-22
95.25,2011-02-23
88.199997,2011-02-24
88.650002,2011-02-25
89.150002,2011-02-28
91.0,2011-03-01
90.5,2011-03-03
90.800003,2011-03-04
88.849998,2011-03-07
93.449997,2011-03-08
96.0,2011-03-09
96.5,2011-03-10
101.300003,2011-03-11
102.050003,2011-03-14
98.550003,2011-03-15
98.949997,2011-03-16
97.400002,2011-03-17
97.400002,2011-03-18
98.25,2011-03-21
97.849998,2011-03-22
97.849998,2011-03-23
99.050003,2011-03-24
98.050003,2011-03-25
98.400002,2011-03-28
96.050003,2011-03-29
97.0,2011-03-30
97.75,2011-03-31
100.650002,2011-04-01
101.849998,2011-04-04
105.300003,2011-04-05
106.150002,2011-04-06
108.349998,2011-04-07
104.550003,2011-04-08
102.699997,2011-04-11
103.349998,2011-04-13
103.099998,2011-04-15
100.300003,2011-04-18
101.599998,2011-04-19
102.050003,2011-04-20
103.0,2011-04-21
102.199997,2011-04-25
104.25,2011-04-26
104.199997,2011-04-27
102.75,2011-04-28
100.800003,2011-04-29
99.949997,2011-05-02
99.199997,2011-05-03
97.949997,2011-05-04
96.550003,2011-05-05
97.599998,2011-05-06
97.449997,2011-05-09
99.650002,2011-05-10
100.5,2011-05-11
97.849998,2011-05-12
99.199997,2011-05-13
97.349998,2011-05-16
96.5,2011-05-17
96.150002,2011-05-18
96.0,2011-05-19
97.050003,2011-05-20
95.599998,2011-05-23
92.050003,2011-05-24
87.800003,2011-05-25
85.900002,2011-05-26
88.300003,2011-05-27
86.800003,2011-05-30
87.5,2011-05-31
91.599998,2011-06-01
93.849998,2011-06-02
93.300003,2011-06-03
93.050003,2011-06-06
94.25,2011-06-07
98.199997,2011-06-08
96.650002,2011-06-09
95.800003,2011-06-10
99.949997,2011-06-13
99.800003,2011-06-14
98.650002,2011-06-15
97.050003,2011-06-16
98.349998,2011-06-17
93.300003,2011-06-20
92.400002,2011-06-21
90.400002,2011-06-22
90.699997,2011-06-23
91.800003,2011-06-24
92.400002,2011-06-27
92.650002,2011-06-28
93.0,2011-06-29
96.550003,2011-06-30
97.849998,2011-07-01
104.400002,2011-07-04
102.949997,2011-07-05
103.300003,2011-07-06
104.800003,2011-07-07
100.0,2011-07-08
101.300003,2011-07-11
100.25,2011-07-12
101.599998,2011-07-13
102.400002,2011-07-14
100.849998,2011-07-15
103.050003,2011-07-18
102.599998,2011-07-19
100.949997,2011-07-20
99.300003,2011-07-21
102.75,2011-07-22
105.400002,2011-07-25
104.900002,2011-07-26
108.599998,2011-07-27
107.75,2011-07-28
106.199997,2011-07-29
107.0,2011-08-01
104.599998,2011-08-02
107.900002,2011-08-03
111.0,2011-08-04
106.400002,2011-08-05
106.400002,2011-08-08
102.75,2011-08-09
106.699997,2011-08-10
102.900002,2011-08-11
102.25,2011-08-12
98.349998,2011-08-16
95.199997,2011-08-17
88.699997,2011-08-18
87.650002,2011-08-19
90.949997,2011-08-22
92.150002,2011-08-23
91.199997,2011-08-24
92.650002,2011-08-25
89.5,2011-08-26
93.300003,2011-08-29
93.5,2011-08-30
93.099998,2011-09-02
91.550003,2011-09-05
94.449997,2011-09-06
94.349998,2011-09-07
94.650002,2011-09-08
93.400002,2011-09-09
91.0,2011-09-12
91.199997,2011-09-13
92.150002,2011-09-14
92.75,2011-09-15
91.050003,2011-09-16
90.900002,2011-09-19
92.050003,2011-09-20
92.75,2011-09-21
86.349998,2011-09-22
87.150002,2011-09-23
86.75,2011-09-26
88.400002,2011-09-27
86.650002,2011-09-28
85.550003,2011-09-29
85.550003,2011-09-30
83.949997,2011-10-03
83.099998,2011-10-04
81.199997,2011-10-05
82.599998,2011-10-07
85.800003,2011-10-10
86.699997,2011-10-11
88.199997,2011-10-12
86.900002,2011-10-13
87.800003,2011-10-14
90.099998,2011-10-17
87.5,2011-10-18
87.5,2011-10-19
85.599998,2011-10-20
84.900002,2011-10-21
85.199997,2011-10-24
86.800003,2011-10-25
89.75,2011-10-28
92.550003,2011-10-31
91.550003,2011-11-01
91.050003,2011-11-02
90.650002,2011-11-03
90.849998,2011-11-04
90.650002,2011-11-08
89.199997,2011-11-09
88.150002,2011-11-11
87.650002,2011-11-14
85.650002,2011-11-15
83.75,2011-11-16
82.650002,2011-11-17
82.650002,2011-11-18
81.800003,2011-11-21
82.449997,2011-11-22
80.900002,2011-11-23
82.599998,2011-11-24
81.449997,2011-11-25
83.599998,2011-11-28
84.0,2011-11-29
83.849998,2011-11-30
88.199997,2011-12-01
91.400002,2011-12-02
90.349998,2011-12-05
90.599998,2011-12-07
89.449997,2011-12-08
89.650002,2011-12-09
87.400002,2011-12-12
88.699997,2011-12-13
87.349998,2011-12-14
89.75,2011-12-15
86.349998,2011-12-16
84.400002,2011-12-19
84.949997,2011-12-20
86.449997,2011-12-21
89.699997,2011-12-22
88.650002,2011-12-23
88.699997,2011-12-26
88.0,2011-12-27
87.25,2011-12-28
89.900002,2011-12-29
90.199997,2011-12-30
90.900002,2012-01-02
94.550003,2012-01-03
95.150002,2012-01-04
92.849998,2012-01-05
93.75,2012-01-06
0.0,2012-01-07
93.099998,2012-01-09
93.75,2012-01-10
92.900002,2012-01-11
92.800003,2012-01-12
94.050003,2012-01-13
98.599998,2012-01-16
96.900002,2012-01-17
93.0,2012-01-18
93.900002,2012-01-19
92.650002,2012-01-20
92.199997,2012-01-23
93.349998,2012-01-24
95.349998,2012-01-25
97.300003,2012-01-27
97.949997,2012-01-30
107.75,2012-01-31
109.150002,2012-02-01
110.050003,2012-02-02
119.150002,2012-02-03
116.199997,2012-02-06
113.650002,2012-02-07
117.949997,2012-02-08
123.0,2012-02-09
119.050003,2012-02-10
121.400002,2012-02-13
120.599998,2012-02-14
120.699997,2012-02-15
120.800003,2012-02-16
119.150002,2012-02-17
120.550003,2012-02-21
116.699997,2012-02-22
119.800003,2012-02-23
119.449997,2012-02-24
113.300003,2012-02-27
120.25,2012-02-28
125.550003,2012-02-29
123.150002,2012-03-01
120.349998,2012-03-02
0.0,2012-03-03
116.099998,2012-03-05
113.75,2012-03-06
115.449997,2012-03-07
117.849998,2012-03-09
116.900002,2012-03-12
118.0,2012-03-13
120.400002,2012-03-14
115.849998,2012-03-15
112.949997,2012-03-16
109.900002,2012-03-19
112.75,2012-03-20
114.400002,2012-03-21
110.949997,2012-03-22
112.449997,2012-03-23
108.599998,2012-03-26
109.849998,2012-03-27
110.099998,2012-03-28
108.699997,2012-03-29
112.050003,2012-03-30
115.349998,2012-04-02
118.5,2012-04-03
117.650002,2012-04-04
116.849998,2012-04-09
117.550003,2012-04-10
118.199997,2012-04-11
120.949997,2012-04-12
117.150002,2012-04-13
118.699997,2012-04-16
118.849998,2012-04-17
119.300003,2012-04-18
124.050003,2012-04-19
121.599998,2012-04-20
117.199997,2012-04-23
118.550003,2012-04-24
116.449997,2012-04-25
115.449997,2012-04-26
115.800003,2012-04-27
117.0,2012-04-30
119.349998,2012-05-02
117.599998,2012-05-03
114.449997,2012-05-04
116.349998,2012-05-07
113.0,2012-05-08
110.400002,2012-05-09
112.5,2012-05-10
108.300003,2012-05-11
103.099998,2012-05-14
104.900002,2012-05-15
107.949997,2012-05-16
107.400002,2012-05-17
105.5,2012-05-18
106.800003,2012-05-21
106.900002,2012-05-22
108.0,2012-05-23
109.5,2012-05-24
107.900002,2012-05-25
111.099998,2012-05-28
109.900002,2012-05-29
107.400002,2012-05-30
107.800003,2012-05-31
105.550003,2012-06-01
104.699997,2012-06-04
105.199997,2012-06-05
108.050003,2012-06-06
109.199997,2012-06-07
111.949997,2012-06-08
110.900002,2012-06-11
112.099998,2012-06-12
108.800003,2012-06-13
105.849998,2012-06-14
107.699997,2012-06-15
105.849998,2012-06-18
104.849998,2012-06-19
106.199997,2012-06-20
107.699997,2012-06-21
108.099998,2012-06-22
109.199997,2012-06-25
115.050003,2012-06-26
116.849998,2012-06-27
115.949997,2012-06-28
115.949997,2012-06-29
118.050003,2012-07-02
119.550003,2012-07-03
118.75,2012-07-04
119.599998,2012-07-05
117.449997,2012-07-06
114.099998,2012-07-09
115.599998,2012-07-10
116.550003,2012-07-11
115.300003,2012-07-12
114.050003,2012-07-13
114.349998,2012-07-16
116.300003,2012-07-17
118.900002,2012-07-18
121.349998,2012-07-19
118.800003,2012-07-20
115.599998,2012-07-23
123.449997,2012-07-24
120.800003,2012-07-25
119.849998,2012-07-26
120.550003,2012-07-27
122.599998,2012-07-30
126.800003,2012-07-31
126.800003,2012-08-01
129.850006,2012-08-02
130.550003,2012-08-03
129.850006,2012-08-06
129.850006,2012-08-07
130.0,2012-08-08
130.649994,2012-08-09
132.949997,2012-08-10
134.199997,2012-08-13
133.649994,2012-08-14
133.600006,2012-08-16
134.699997,2012-08-17
132.850006,2012-08-21
131.800003,2012-08-22
130.949997,2012-08-23
128.75,2012-08-24
128.600006,2012-08-27
127.400002,2012-08-28
125.300003,2012-08-29
130.300003,2012-08-30
130.199997,2012-08-31
130.300003,2012-09-03
132.0,2012-09-04
133.600006,2012-09-05
135.399994,2012-09-06
136.399994,2012-09-07
0.0,2012-09-08
135.75,2012-09-10
135.100006,2012-09-11
134.600006,2012-09-12
133.699997,2012-09-13
133.399994,2012-09-14
128.699997,2012-09-17
129.949997,2012-09-18
127.75,2012-09-20
131.0,2012-09-21
129.050003,2012-09-24
128.699997,2012-09-25
130.550003,2012-09-26
131.850006,2012-09-27
142.800003,2012-09-28
145.350006,2012-10-01
154.899994,2012-10-03
151.449997,2012-10-04
150.199997,2012-10-05
155.350006,2012-10-08
153.75,2012-10-09
156.149994,2012-10-10
160.050003,2012-10-11
161.100006,2012-10-12
159.949997,2012-10-15
161.149994,2012-10-16
162.399994,2012-10-17
162.100006,2012-10-18
157.899994,2012-10-19
159.699997,2012-10-22
157.100006,2012-10-23
154.800003,2012-10-25
148.550003,2012-10-29
150.899994,2012-10-30
150.25,2012-10-31
159.550003,2012-11-01
158.649994,2012-11-02
158.5,2012-11-05
158.100006,2012-11-06
159.649994,2012-11-07
167.449997,2012-11-08
168.649994,2012-11-09
0.0,2012-11-11
168.600006,2012-11-12
178.699997,2012-11-15
173.449997,2012-11-16
163.949997,2012-11-19
159.100006,2012-11-20
160.649994,2012-11-21
160.100006,2012-11-22
163.199997,2012-11-23
163.25,2012-11-26
162.949997,2012-11-27
162.300003,2012-11-29
165.699997,2012-11-30
168.350006,2012-12-03
166.300003,2012-12-04
165.449997,2012-12-05
165.75,2012-12-06
170.0,2012-12-07
172.899994,2012-12-10
169.850006,2012-12-11
171.949997,2012-12-12
168.25,2012-12-13
168.449997,2012-12-14
166.0,2012-12-17
165.199997,2012-12-18
165.100006,2012-12-19
163.0,2012-12-20
160.699997,2012-12-21
160.399994,2012-12-24
160.199997,2012-12-26
159.699997,2012-12-27
160.5,2012-12-28
159.850006,2012-12-31
160.949997,2013-01-01
