Date,Open,High,Low,Close,Adj Close,Volume
2010-10-11,135.000000,135.899994,133.100006,133.750000,115.147926,280950
2010-10-12,134.500000,135.899994,130.050003,130.899994,112.694305,303661
2010-10-13,132.449997,134.149994,131.399994,133.350006,114.803558,180432
2010-10-14,134.000000,136.500000,131.000000,132.899994,114.416145,321793
2010-10-15,133.500000,134.300003,128.899994,130.000000,111.919487,188607
2010-10-18,131.000000,131.000000,126.349998,129.699997,111.661201,163939
2010-10-19,131.000000,134.199997,128.449997,129.699997,111.661201,142784
2010-10-20,130.000000,130.750000,128.100006,129.149994,111.187706,143369
2010-10-21,130.000000,131.199997,128.750000,130.300003,112.177773,94075
2010-10-22,132.000000,132.000000,128.000000,128.600006,110.714211,272806
2010-10-25,130.000000,130.500000,128.100006,128.500000,110.628098,127540
2010-10-26,129.500000,129.500000,126.550003,127.400002,109.681091,189071
2010-10-27,128.000000,129.250000,125.599998,126.900002,109.250633,260869
2010-10-28,128.000000,129.699997,127.400002,128.850006,110.929428,154125
2010-10-29,130.000000,130.500000,121.000000,124.449997,107.141388,350146
2010-11-01,124.050003,127.650002,123.250000,124.800003,107.442703,94326
2010-11-02,125.050003,126.150002,124.300003,125.349998,107.916199,91432
2010-11-03,126.000000,126.500000,124.250000,124.699997,107.356606,57037
2010-11-04,125.699997,125.849998,123.500000,124.250000,106.969200,137323
2010-11-08,125.800003,126.900002,124.599998,125.349998,107.916199,86808
2010-11-09,126.000000,128.000000,124.199997,127.449997,109.724136,169490
2010-11-10,127.000000,132.500000,127.000000,131.800003,113.469131,499836
2010-11-11,132.699997,134.000000,127.150002,128.100006,110.283737,264668
2010-11-12,128.000000,129.800003,124.300003,124.800003,107.442703,216811
2010-11-15,126.000000,126.449997,123.250000,124.699997,107.356606,115048
2010-11-16,125.000000,126.699997,120.000000,121.099998,104.257294,165187
2010-11-18,123.449997,123.449997,115.500000,119.150002,102.578514,244130
2010-11-19,120.099998,124.000000,115.599998,118.599998,102.105011,293610
2010-11-22,119.449997,120.050003,117.500000,119.650002,103.008965,119585
2010-11-23,119.000000,119.000000,114.199997,117.449997,101.114944,133578
2010-11-24,118.300003,118.949997,116.099998,116.900002,100.641441,79692
2010-11-25,117.849998,118.000000,108.500000,110.500000,95.131554,188758
2010-11-26,111.000000,113.550003,104.300003,112.650002,96.982536,385007
2010-11-29,113.800003,113.800003,110.250000,113.050003,97.326897,134535
2010-11-30,112.000000,114.000000,111.000000,113.000000,97.283859,304683
2010-12-01,113.849998,115.900002,113.000000,114.900002,98.919601,84642
2010-12-02,115.550003,117.099998,114.599998,115.650002,99.565292,87086
2010-12-03,116.099998,116.250000,112.500000,113.650002,97.843452,83078
2010-12-06,114.500000,115.650002,113.199997,114.650002,98.704369,61662
2010-12-07,115.300003,115.500000,113.349998,115.050003,99.048729,76189
2010-12-08,114.900002,115.300003,113.699997,114.849998,98.876549,78949
2010-12-09,115.000000,115.250000,110.099998,111.150002,95.691170,102826
2010-12-10,111.000000,112.750000,107.349998,110.750000,95.346794,414931
2010-12-13,114.000000,114.000000,110.800003,112.699997,97.025589,79520
2010-12-14,113.050003,115.000000,113.000000,114.199997,98.316956,83624
2010-12-15,114.900002,116.250000,113.300003,114.699997,98.747406,89614
2010-12-16,114.000000,115.400002,113.000000,114.750000,98.790466,50123
2010-12-20,115.000000,115.800003,114.050003,115.000000,99.005692,51353
2010-12-21,116.400002,117.599998,115.000000,115.699997,99.608330,214666
2010-12-22,116.050003,116.349998,112.949997,113.900002,98.058678,157360
2010-12-23,114.500000,114.900002,112.099998,112.699997,97.025589,73375
2010-12-24,112.500000,113.650002,111.800003,112.449997,96.810341,121478
2010-12-27,113.449997,113.500000,109.599998,109.949997,94.658051,1218832
2010-12-28,110.900002,110.900002,108.199997,109.599998,94.356728,154202
2010-12-29,110.349998,110.849998,109.150002,109.750000,94.485878,115411
2010-12-30,110.000000,110.949997,107.550003,107.949997,92.936211,172669
2010-12-31,108.500000,109.000000,107.550003,108.349998,93.280586,169924
2011-01-03,109.000000,111.900002,108.750000,111.500000,95.992477,309849
2011-01-04,112.500000,114.300003,111.599998,113.000000,97.283859,1373935
2011-01-05,113.250000,113.900002,111.449997,112.150002,96.552078,104521
2011-01-06,113.000000,113.349998,110.000000,110.300003,94.959389,920437
2011-01-07,112.500000,112.900002,107.250000,108.099998,93.065361,287277
2011-01-10,108.099998,108.849998,103.400002,104.000000,89.535591,218185
2011-01-11,104.250000,105.500000,101.250000,104.000000,89.535591,190753
2011-01-12,103.000000,104.500000,101.050003,104.099998,89.621666,111990
2011-01-13,104.050003,104.900002,102.500000,103.400002,89.019051,90827
2011-01-14,104.900002,109.800003,102.500000,104.550003,90.009094,459176
2011-01-17,105.000000,108.400002,102.599998,104.750000,90.181267,615882
2011-01-18,105.449997,106.949997,104.550003,104.800003,90.224319,90265
2011-01-19,105.300003,106.949997,104.400002,105.099998,90.482597,206369
2011-01-20,104.650002,109.099998,104.400002,106.750000,91.903122,334767
2011-01-21,106.500000,107.449997,105.000000,105.550003,90.870010,120433
2011-01-24,106.800003,107.000000,105.599998,106.000000,91.257423,69584
2011-01-25,107.000000,107.550003,106.000000,106.150002,91.386551,71139
2011-01-27,106.150002,108.300003,104.750000,105.599998,90.913055,333359
2011-01-28,106.150002,106.449997,98.599998,100.000000,86.091904,397254
2011-01-31,119.500000,119.500000,95.300003,99.400002,85.575363,236609
2011-02-01,100.650002,101.300003,97.900002,98.099998,84.456161,169834
2011-02-02,99.750000,100.000000,97.099998,97.750000,84.154839,123278
2011-02-03,97.900002,97.900002,95.599998,96.050003,82.691277,207041
2011-02-04,96.900002,97.900002,94.500000,95.099998,81.873390,228682
2011-02-07,98.000000,98.000000,95.199997,95.699997,82.389954,134260
2011-02-08,96.000000,96.900002,92.050003,92.699997,79.807198,120413
2011-02-09,93.000000,93.000000,87.400002,88.050003,75.803925,190577
