Date,Sentiment
2019-10-03,0.3071
2019-10-04,0.38916666666666666
2019-10-09,0.296
2019-10-10,0.0
2019-10-11,-0.05295
2019-10-14,0.61205
2019-10-15,0.3071
2019-10-17,0.296
2019-10-18,0.296
2019-10-24,0.296
2019-10-30,0.483575
2019-10-31,0.64985
2019-11-05,0.25715
2019-11-06,0.3071
2019-11-07,0.4939
2019-11-08,0.5072
2019-11-12,0.57925
2019-11-14,0.3818
2019-11-15,0.5859
2019-11-18,0.296
